Granularidade Geográfica;Categoria;Filtro;Estado;UF;Ano;Valor;Tipo Valor;Indicador
Amapá;Localidade;Total;Amapá;AP;2019;0,5428;%;1.2
Bahia;Localidade;Total;Bahia;BA;2019;0,674;%;1.2
Ceará;Localidade;Total;Ceará;CE;2019;0,6878;%;1.2
Distrito Federal;Localidade;Total;Distrito Federal;DF;2019;0,2944;%;1.2
Espírito Santo;Localidade;Total;Espírito Santo;ES;2019;0,5537;%;1.2
Goiás;Localidade;Total;Goiás;GO;2019;0,5966;%;1.2
Maranhão;Localidade;Total;Maranhão;MA;2019;0,69;%;1.2
Minas Gerais;Localidade;Total;Minas Gerais;MG;2019;0,6061;%;1.2
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;2019;0,7858;%;1.2
Mato Grosso;Localidade;Total;Mato Grosso;MT;2019;0,5673;%;1.2
Pará;Localidade;Total;Pará;PA;2019;0,4458;%;1.2
Paraíba;Localidade;Total;Paraíba;PB;2019;0,9323;%;1.2
Pernambuco;Localidade;Total;Pernambuco;PE;2019;0,6563;%;1.2
Piauí;Localidade;Total;Piauí;PI;2019;0,9708;%;1.2
Paraná;Localidade;Total;Paraná;PR;2019;0,5173;%;1.2
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;2019;0,3253;%;1.2
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;2019;0,8045;%;1.2
Rondônia;Localidade;Total;Rondônia;RO;2019;0,3353;%;1.2
Roraima;Localidade;Total;Roraima;RR;2019;0,4577;%;1.2
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RS;2019;0,44;%;1.2
Santa Catarina;Localidade;Total;Santa Catarina;SC;2019;0,589;%;1.2
Sergipe;Localidade;Total;Sergipe;SE;2019;0,7696;%;1.2
São Paulo;Localidade;Total;São Paulo;SP;2019;0,3416;%;1.2
Tocantins;Localidade;Total;Tocantins;TO;2019;0,8042;%;1.2
Brasil;Localidade;Total;;;2019;0,5297;%;1.2
Acre;Localidade;Total;Acre;AC;2020;0,6955;%;1.2
Alagoas;Localidade;Total;Alagoas;AL;2020;0,7366;%;1.2
Amazonas;Localidade;Total;Amazonas;AM;2020;0,5177;%;1.2
Amapá;Localidade;Total;Amapá;AP;2020;0,6975;%;1.2
Bahia;Localidade;Total;Bahia;BA;2020;0,7058;%;1.2
Ceará;Localidade;Total;Ceará;CE;2020;0,7207;%;1.2
Distrito Federal;Localidade;Total;Distrito Federal;DF;2020;0,3354;%;1.2
Espírito Santo;Localidade;Total;Espírito Santo;ES;2020;0,5983;%;1.2
Goiás;Localidade;Total;Goiás;GO;2020;0,6131;%;1.2
Maranhão;Localidade;Total;Maranhão;MA;2020;0,7041;%;1.2
Minas Gerais;Localidade;Total;Minas Gerais;MG;2020;0,642;%;1.2
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;2020;0,8102;%;1.2
Mato Grosso;Localidade;Total;Mato Grosso;MT;2020;0,6471;%;1.2
Pará;Localidade;Total;Pará;PA;2020;0,4684;%;1.2
Paraíba;Localidade;Total;Paraíba;PB;2020;0,9365;%;1.2
Pernambuco;Localidade;Total;Pernambuco;PE;2020;0,685;%;1.2
Piauí;Localidade;Total;Piauí;PI;2020;0,9654;%;1.2
Paraná;Localidade;Total;Paraná;PR;2020;0,5564;%;1.2
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;2020;0,3533;%;1.2
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;2020;0,8285;%;1.2
Rondônia;Localidade;Total;Rondônia;RO;2020;0,3715;%;1.2
Roraima;Localidade;Total;Roraima;RR;2020;0,4815;%;1.2
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RS;2020;0,5049;%;1.2
Santa Catarina;Localidade;Total;Santa Catarina;SC;2020;0,6743;%;1.2
Sergipe;Localidade;Total;Sergipe;SE;2020;0,7011;%;1.2
São Paulo;Localidade;Total;São Paulo;SP;2020;0,3656;%;1.2
Tocantins;Localidade;Total;Tocantins;TO;2020;0,9182;%;1.2
Brasil;Localidade;Total;;;2020;0,5611;%;1.2
Acre;Localidade;Total;Acre;AC;2021;0,6756;%;1.2
Alagoas;Localidade;Total;Alagoas;AL;2021;0,7361;%;1.2
Amazonas;Localidade;Total;Amazonas;AM;2021;0,528;%;1.2
Amapá;Localidade;Total;Amapá;AP;2021;0,7649;%;1.2
Bahia;Localidade;Total;Bahia;BA;2021;0,7135;%;1.2
Ceará;Localidade;Total;Ceará;CE;2021;0,7377;%;1.2
Distrito Federal;Localidade;Total;Distrito Federal;DF;2021;0,3362;%;1.2
Espírito Santo;Localidade;Total;Espírito Santo;ES;2021;0,5876;%;1.2
Goiás;Localidade;Total;Goiás;GO;2021;0,6041;%;1.2
Maranhão;Localidade;Total;Maranhão;MA;2021;0,7387;%;1.2
Minas Gerais;Localidade;Total;Minas Gerais;MG;2021;0,6466;%;1.2
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;2021;0,7818;%;1.2
Mato Grosso;Localidade;Total;Mato Grosso;MT;2021;0,6266;%;1.2
Pará;Localidade;Total;Pará;PA;2021;0,4956;%;1.2
Paraíba;Localidade;Total;Paraíba;PB;2021;0,9312;%;1.2
Pernambuco;Localidade;Total;Pernambuco;PE;2021;0,6866;%;1.2
Piauí;Localidade;Total;Piauí;PI;2021;0,9623;%;1.2
Paraná;Localidade;Total;Paraná;PR;2021;0,563;%;1.2
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;2021;0,3722;%;1.2
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;2021;0,8069;%;1.2
Rondônia;Localidade;Total;Rondônia;RO;2021;0,371;%;1.2
Roraima;Localidade;Total;Roraima;RR;2021;0,4495;%;1.2
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RS;2021;0,5042;%;1.2
Santa Catarina;Localidade;Total;Santa Catarina;SC;2021;0,6671;%;1.2
Sergipe;Localidade;Total;Sergipe;SE;2021;0,7135;%;1.2
São Paulo;Localidade;Total;São Paulo;SP;2021;0,3691;%;1.2
Tocantins;Localidade;Total;Tocantins;TO;2021;0,9034;%;1.2
Brasil;Localidade;Total;;;2021;0,5661;%;1.2
